erk_regime,beta_d_R,beta_d_T,lambda_d,n_observed_deaths_analyzed_mean,n_observed_deaths_analyzed_std,n_observed_deaths_analyzed_min,n_observed_deaths_analyzed_max,analysis_time_span_mean,analysis_time_span_std,analysis_time_span_min,analysis_time_span_max,observed_death_rate_after_burnin_mean,observed_death_rate_after_burnin_std,observed_death_rate_after_burnin_min,observed_death_rate_after_burnin_max,accepted_activations_during_analysis_mean,accepted_activations_during_analysis_std,accepted_activations_during_analysis_min,accepted_activations_during_analysis_max,t_zone_observed_fraction_mean,t_zone_observed_fraction_std,t_zone_observed_fraction_min,t_zone_observed_fraction_max,t_zone_density_ratio_mean,t_zone_density_ratio_std,t_zone_density_ratio_min,t_zone_density_ratio_max,t_zone_binomial_p_value_greater_mean,t_zone_binomial_p_value_greater_std,t_zone_binomial_p_value_greater_min,t_zone_binomial_p_value_greater_max,death_candidates_mean,death_candidates_std,death_candidates_min,death_candidates_max,death_rejected_mean,death_rejected_std,death_rejected_min,death_rejected_max,activation_candidates_mean,activation_candidates_std,activation_candidates_min,activation_candidates_max,activation_rejected_mean,activation_rejected_std,activation_rejected_min,activation_rejected_max
reference_ERK,2.0,0.8,0.25,1000.0,0.0,1000,1000,172.8137363060584,8.531851900737488,150.23493474176365,181.8035386830774,5.8006526407456835,0.3172161942015787,5.500442990514143,6.65624145089079,26504.0,657.4252809255205,24969,27457,0.6424000000000001,0.013937957765277766,0.618,0.662,2.2502807610072546,0.13566486675716327,2.022251308900523,2.4482248520710055,2.3270982197012733e-29,7.34688402927472e-29,1.1060792268932456e-43,2.323667532586829e-28,6473.6,193.4845385726381,6130,6787,4973.6,193.4845385726381,4630,5287,129344.3,3857.0110203512645,121684,134203,89673.7,3707.237637379077,83788,95445
reference_ERK,2.0,0.8,0.5,1000.0,0.0,1000,1000,100.47254926272515,11.119329183391764,84.43476694791768,113.96601621049635,10.067481010599469,1.1530950839097787,8.774545546568813,11.843462546853893,15258.3,519.8247674831293,14457,16323,0.6395000000000001,0.025496187078768395,0.589,0.683,2.2328930254274093,0.24438638554904968,1.791362530413625,2.6932176656151414,3.315461129519022e-21,1.0484408581357186e-20,2.669099503440338e-52,3.315461106273215e-20,7501.7,400.32127375674435,6909,8048,6001.7,400.32127375674435,5409,6548,75648.2,3902.068220828539,70740,81174,52362.1,3684.449226139504,47835,57947
reference_ERK,2.0,0.8,1.0,1000.0,0.0,1000,1000,61.34990627145835,5.0265173891699435,55.1642564559006,70.09348069314159,16.396893381082595,1.317947951657919,14.266662036343227,18.127680209003085,9647.8,466.9769920575435,8874,10404,0.6295,0.03173939017827676,0.58,0.665,2.145401092295382,0.28043389724989753,1.7261904761904758,2.481343283582089,6.619013657695187e-19,1.7562259445293326e-18,7.336731607201069e-45,5.5716505040089315e-18,9502.1,911.7132163618606,8164,11127,8002.1,911.7132163618606,6664,9627,47287.9,4531.579524723017,40827,54676,32857.4,4434.7523844191255,26530,40449
reference_ERK,2.0,0.8,2.0,1000.0,0.0,1000,1000,42.50521798254059,3.9251426444539743,33.46218741552063,47.37045980655866,23.730588022156535,2.47384565041394,21.110202520380547,29.884477890891677,6550.6,420.0061375212933,5682,7148,0.6218999999999999,0.0356633954886208,0.579,0.71,2.087227045636081,0.3706622612011756,1.7191211401425173,3.060344827586206,9.707503600777604e-19,3.0489079836356598e-18,1.1156436443027517e-64,9.647931141777522e-18,12879.4,810.6520283766084,11315,13918,11379.4,810.6520283766084,9815,12418,32082.3,1850.8562613017777,28424,34613,22177.7,1888.2422190433579,18962,25371
reference_ERK,2.0,0.8,4.0,1000.0,0.0,1000,1000,33.61677978845242,3.502901158263669,28.274836906550785,38.37932146608748,30.052314436430827,3.2638462364670606,26.055697750769625,35.36713592036025,4949.1,375.5000961680598,4389,5490,0.6268,0.05120937414185026,0.511,0.681,2.1497809443269835,0.4114153183495576,1.3062372188139055,2.668495297805642,1.3944843696841554e-06,4.409746769469268e-06,1.9254409713818498e-51,1.3944843696167269e-05,20074.6,1065.8018577578102,18420,21667,18574.6,1065.8018577578102,16920,20167,25108.9,1470.3241101501696,22807,27234,17746.2,1671.4402172976454,15184,19948
strong_ERK_protection,1.0,0.4,0.25,1000.0,0.0,1000,1000,291.3647723621098,14.24352561321087,271.92965996318264,311.9890732773806,3.4395774812046938,0.1695435781876143,3.205240457607079,3.677421580769795,45100.9,2264.3889266446945,41881,49285,0.6083000000000001,0.02051584753306578,0.579,0.638,1.9490635688665308,0.16656554897116613,1.7191211401425173,2.2030386740331487,1.1492269824971413e-18,3.0412931406445795e-18,7.0916337491396e-35,9.647931141777522e-18,11086.6,426.7281726501466,10202,11686,9586.6,426.7281726501466,8702,10186,221891.6,7794.310962347971,207305,234068,153465.3,6570.082800932657,143485,162999
strong_ERK_protection,1.0,0.4,0.5,1000.0,0.0,1000,1000,212.59701818141139,12.85887884217387,195.38310378576261,236.83114462579266,4.718774881029091,0.2767731837319661,4.222417628306697,5.118149832937955,33135.1,1797.1712618569338,29226,35012,0.599,0.026882460204874625,0.557,0.642,1.8802071156261515,0.21592176725207127,1.5716704288939047,2.241620111731843,6.136223689285948e-14,1.9403325839863193e-13,2.8745346235440736e-36,6.135905708377438e-13,16438.8,875.1911283320409,14964,17855,14938.8,875.1911283320412,13464,16355,163373.8,9086.45360229538,149071,177155,113346.8,7266.596128098003,102131,124390
strong_ERK_protection,1.0,0.4,1.0,1000.0,0.0,1000,1000,168.475798776688,10.698015519496687,156.82128837090693,190.25336405917048,5.9561153076817535,0.36005194373488353,5.256148846277384,6.376685272696162,26334.4,2081.9516591676934,24341,30232,0.5944,0.02256447552139326,0.548,0.623,1.8401479904514335,0.16594398580545403,1.5154867256637163,2.0656498673740047,3.2433927992475463e-12,1.0255850435544987e-11,6.403222596638276e-30,3.2432054797713713e-11,24969.9,1241.4122289643446,23590,27468,23469.9,1241.4122289643446,22090,25968,124953.4,6589.328075675766,117481,137826,86098.1,4536.26754183559,79394,94215
strong_ERK_protection,1.0,0.4,2.0,1000.0,0.0,1000,1000,133.65352156153622,11.4673512331979,116.81096824236366,148.72275554824455,7.532666907454361,0.6568478740592321,6.723920601885348,8.560839919802424,20475.3,1690.907517676036,17135,22773,0.5838,0.024197336859892445,0.537,0.615,1.7622347579951305,0.16977478525327938,1.4497840172786172,1.9967532467532463,2.6806913975712026e-10,8.476348710358929e-10,1.9060059803046098e-27,2.6804802707028963e-09,40107.9,2627.6772780875845,36084,43009,38607.9,2627.6772780875845,34584,41509,100088.5,6426.15112472293,91164,107742,69159.6,5278.522566863656,61456,75587
strong_ERK_protection,1.0,0.4,4.0,1000.0,0.0,1000,1000,117.28431102439545,6.705356131864517,108.32180183445215,127.35527577466428,8.551358277903445,0.48757068023616545,7.852050053814397,9.231751900954313,17764.9,1185.9882377157037,16070,19460,0.5589000000000001,0.023240051635054503,0.519,0.601,1.591045361189455,0.1525977492734524,1.3487525987525983,1.882832080200501,1.325034029827899e-07,4.1878705658004347e-07,2.135889327446231e-23,1.3243921984110556e-06,71301.6,5623.471687687441,62574,81813,69801.6,5623.471687687441,61074,80313,88653.6,6992.6825912679715,78241,102114,61987.1,5338.372274808534,53616,72412
weak_ERK_protection,4.0,1.6,0.25,1000.0,0.0,1000,1000,150.15437878941378,8.421635602101652,130.9271199081416,161.8591261414211,6.679941755189792,0.3998298280623292,6.178212028194633,7.637836994364494,22561.5,543.7095323383206,21626,23464,0.6584,0.02020560978210421,0.635,0.692,2.4212505663898147,0.22568606198099347,2.174657534246575,2.808441558441558,1.0937507649655212e-34,2.4971149551941764e-34,2.919964646006838e-56,7.503380189199783e-34,5579.7,315.0181828967264,5119,6164,4079.7,315.01818289672656,3619,4664,112461.0,5730.46286670341,104793,124668,78462.4,5325.006253517454,71250,89034
weak_ERK_protection,4.0,1.6,0.5,1000.0,0.0,1000,1000,75.8630152719738,5.024970746899345,67.62237408080749,83.78388936000312,13.23365949388483,0.8746686433499463,11.935468831044522,14.788004910993193,11714.0,299.6664812754338,11308,12258,0.6525000000000001,0.019895560643855555,0.619,0.689,2.3578532502253915,0.20878912150819426,2.030839895013123,2.769292604501607,1.1429053391624274e-29,3.6129496152936605e-29,6.365544780371257e-55,1.1425539729527616e-28,5873.3,360.7119657319704,5339,6527,4373.3,360.7119657319704,3839,5027,58519.6,3630.4371392743087,53085,65639,40821.9,3499.200780178238,34916,47209
weak_ERK_protection,4.0,1.6,1.0,1000.0,0.0,1000,1000,39.21687615487211,4.162597967517967,30.812700558564096,44.395755483068285,25.780731240412905,2.970880279787449,22.524675819096746,32.45414981070394,6215.9,214.7310721189026,5928,6478,0.6498999999999999,0.03430727166197988,0.61,0.708,2.3533738326090665,0.3749425932704566,1.9551282051282046,3.0308219178082187,6.229526588272698e-27,1.8398550536653154e-26,1.037564312725543e-63,5.848162027486878e-26,6020.0,613.7634361507336,4919,6987,4520.0,613.7634361507336,3419,5487,29986.7,3108.1608727849193,24128,34637,20582.3,3006.221920173781,15086,24921
weak_ERK_protection,4.0,1.6,2.0,1000.0,0.0,1000,1000,20.987461649779725,2.796026302577421,17.352132352642514,26.484686998396974,48.36515364334945,6.031554302541202,37.757667291311634,57.62980478002823,3444.5,91.54142960066406,3290,3543,0.6171,0.057637661298841764,0.557,0.758,2.1052283664027787,0.6800325613235296,1.5716704288939047,3.9152892561983457,6.137227710649917e-14,1.9402973253788642e-13,1.5622330393279484e-90,6.135905708377438e-13,6670.3,731.9515846162383,5260,8006,5170.3,731.9515846162383,3760,6506,16571.5,1799.998348764675,12994,19708,11405.4,1749.1354816975536,7936,14547
weak_ERK_protection,4.0,1.6,4.0,1000.0,0.0,1000,1000,12.440508737453973,1.604502437721407,10.549210599360734,16.207613024280413,81.4365016424681,9.158803971699694,61.699400059830715,94.79382277765869,2067.3,54.19522324174171,1954,2149,0.637,0.04111501482967559,0.566,0.71,2.2353756650954275,0.41437205253776876,1.6301843317972344,3.060344827586206,8.409380050788137e-16,2.6592794659558038e-15,1.1156436443027517e-64,8.409380047681696e-15,8088.3,1054.6719395148427,7230,10127,6588.3,1054.6719395148427,5730,8627,10144.8,1374.0291764652518,8872,12973,7062.4,1336.5821419659258,5808,9755
